,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
1972,False,,[],575162,en,Sea side,Seaside is a 16mm found footage film on which appears a family on vacation at the sea. Each character is scraped frame by frame. Ghostly scraped silhouettes,0.6,/81JUd5KKTFIldmtYVOkphngeZOi.jpg,2018-11-20,Sea side,False,0.0,0
1973,False,/xy0dGjRaEh9ir6IPY36XMTX5wbz.jpg,[18],575175,it,Senza Distanza,There is a B&B where every room is a city of the world. You can choose the room-city you want to go to and you'll live in its time zone. It's a training course for long distance relationships. Apparently.,1.791,/8Rwe5iOpUioNBO3YTX1EKO1rhZM.jpg,2018-06-05,Senza Distanza,False,6.7,9
1974,False,,[99],575194,en,Locked In,"As a young girl Victoria Arlen truly had the world ahead of her. But at the age of 11, she began to suffer from an illness that baffled her doctors and kept Victoria locked in her own body.",0.851,/gN8tucx0afvRYRGnsF7aUAN45q1.jpg,2018-08-03,Locked In,False,0.0,0
1975,False,,[],575196,en,Atlantic Salmon: Lost at Sea,"An epic journey through the oceanic kingdom of the Atlantic Salmon in an attempt to unravel the mystery of their life at sea. Salmon are plummeting to critical levels. The cause is mortality at sea. For the 1st time, using the latest DNA technology, scientists are tracking the salmon from the rivers into the vast North Atlantic and back again, in hopes of finding an answer before it's too late.",0.665,/5gSLAKue0AlQzYDKbdKAItFiS1O.jpg,2018-02-01,Atlantic Salmon: Lost at Sea,False,0.0,0
1976,False,,"[10402, 35, 10749]",575250,en,Wonderful Town,"With a keen sensitivity to the demands and specificities of the American “musical”, and after the triumph of Sondheim’s Follies in 2015, the Opéra de Toulon once again embarked on a Broadway adventure with the French premiere of Bernstein’s Wonderful Town, and brought back for the occasion stage director Olivier Bénézech, a major connoisseur of the genre.  A true declaration of love to the city of New-York, Wonderful Town tells the tale, with a boisterous rhythm and vast amounts of jazzy tunes, of two sisters from Ohio looking for success and glory in the big city. Lighter in tone than later works like West Side Story or Candide, its smart combination of the different musical traditions one could hear when wandering in the streets of New-York, its accomplished orchestral writing and colouring, and its vivid sense of comedy earned it no less than five Tony awards when it premiered in 1953.",0.6,/6sN9hbl58osMkWonbwQGcKoUtTL.jpg,2018-01-01,Wonderful Town,False,0.0,0
1977,False,,[18],573771,ko,여동생 친구,"Min-soo is at home since his discharge from the military. His sister Soo-min and her friend So-ri come home. Min-soo is surprised to see the 'little girl' he once knew had grown up to be such a mature young lady. One day, Min-soo is watching porn when he runs into So-ri. He freezes, but So-ri seduces him, ""Want me to satisfy you?""",2.046,/gKmM4LF3JKCI3Y3Bf2ClJeMeCYY.jpg,2018-05-10,My Little Sister's Friend,False,0.0,0
1978,False,/iygIkwJsLXhgyd2ONYouv8uQmYA.jpg,"[35, 10749]",573790,tr,Organik Aşk,"Bülent is the clumsy son of a wealthy family. Besides, a lot of money is spent on him so that he is not reproached for this ineptitude. His father allows Bülent a month to end this: He will either change his ways or be cut off without a cent! While Bülent finds love in the runaway bride Esma, after all kinds of adventures on this quest, Esma's brother Davut is after them for the sake of honor.",0.851,/q4bzvCtNBh6HzT7ZdtsbpszBTbn.jpg,2018-09-21,Organik Love,False,0.0,0
1979,False,,[18],573814,es,Sobre cosas que me han pasado,"Based on the book by author Marcelo Matthey, this short film narrates his own life in a style reminiscent of school compositions. His constant strolls through streets, houses and beaches are recorded in notes of what he saw, felt or thought during these wanderings or moments, but almost only recalling the processes, the timeline in which things occur and come to mind, the trail of associations coming one after the other, like the steps of a person walking along a street. Immediate impressions, fleeting moments normally lost in time and which are captured in the images and sounds of this film.",0.6,/r9YimsSrZeMtkRg1HNAHWovaV3H.jpg,2018-10-18,Sobre cosas que me han pasado,False,0.0,0
1980,False,/335eL80cEHSCcEnZPTUKCTyJgUF.jpg,[99],573819,zh,生活万岁,"Hello Life is a documentary film about the real life of 15 people in 2017. Those people involved live in north and south of China, contains peddlers, the visual impaired, pub dancer, veteran, single mother, window cleaner, free-lancer, voluntary bike sharing maintainers, rickshaw puller, screw-seller, heart disease patient, forest ranger and so forth. Each of them makes great efforts to tough life while those efforts are exactly the light of life itself.",0.6,/8j5540qq3pWNBf59zvHrrS73emR.jpg,2018-11-27,Hello Life,False,0.0,0
1981,False,/n5mpKgkWD04LhR5c4vETE8tNBcG.jpg,[16],573830,ru,Первый гром,"A musical fantasy about the awakening of nature from hibernation, about the release of a hero from his “little world” into a world full of beauty and adventure.",0.6,/yP3AQExfYQhcwHjbi4a9V7LSL0n.jpg,2018-02-12,The First Thunder,False,0.0,0
